Comment,Designator,Footprint,LCSC,Quantity
100,"R1,R3",R_0805_2012Metric,C17408,2
100nF,"C20,C23,C25",C_0402_1005Metric,C1525,3
1k,"R16,R17,R2,R4",R_0805_2012Metric,C17513,4
D2LS-21,"SW1,SW2,SW3",D2LS-21,C3823622,3
IN-PI55TATPRPGPB,"D3,D4,D5",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,C26167850,3
IR12-21C/TR8 or VSMB10940,"D1,D2",IR12-21CTR8,C53672,2
PT26-51B/TR8,"Q1,Q2",PT26-51B-TR8,C55976,2
